1	1	0.237	0.836	0.369
1	2	0.280	0.939	0.432
1	3	0.302	0.962	0.460
1	4	0.317	0.974	0.478
1	5	0.333	0.965	0.496
1	6	0.372	0.929	0.532
1	7	0.426	0.849	0.567
1	8	0.484	0.715	0.577 *
1	9	0.543	0.561	0.552
2	1	0.237	0.773	0.363
2	2	0.362	0.880	0.513
2	3	0.400	0.890	0.552
2	4	0.468	0.815	0.594 *
2	5	0.544	0.555	0.550
3	1	0.235	0.750	0.358
3	2	0.435	0.794	0.562
3	3	0.486	0.681	0.567 *
3	4	0.618	0.276	0.381
4	1	0.232	0.732	0.353
4	2	0.471	0.668	0.553 *
4	3	0.522	0.328	0.403
5	1	0.231	0.727	0.351
5	2	0.469	0.521	0.493
5	3	0.523	0.092	0.156
6	1	0.231	0.722	0.350
6	2	0.450	0.406	0.427
6	3	0.516	0.017	0.034
7	1	0.231	0.720	0.349
7	2	0.434	0.340	0.381
7	3	0.538	0.003	0.005
8	1	0.231	0.720	0.349
8	2	0.424	0.305	0.355
8	3	0.545	0.000	0.001
9	1	0.231	0.720	0.349
9	2	0.415	0.284	0.337
10	1	0.231	0.720	0.349
10	2	0.411	0.273	0.328
